CustomerID,total_purchases,total_quantity,total_revenue,unique_products,days_since_last_purchase,average_transaction_value
13047.0,10,1386.0,3126.89,106,31,312.69
16250.0,2,208.0,388.54,22,261,194.27
17897.0,3,229.0,487.85,100,172,162.62
17905.0,4,263.0,522.39,33,71,130.6
16955.0,4,245.0,464.32,18,184,116.08
17346.0,15,1648.0,2546.6,299,3,169.77
13777.0,33,4339.0,9106.51,36,0,275.95
15694.0,14,1149.0,4728.46,42,0,337.75
18041.0,21,3093.0,3693.03,285,11,175.86
15955.0,14,1967.0,4108.95,137,24,293.5
16752.0,1,54.0,122.7,9,372,122.7
15544.0,9,3063.0,3516.89,122,9,390.77
13117.0,8,894.0,925.33,66,21,115.67
16916.0,2,422.0,567.29,129,23,283.65
17235.0,2,221.0,537.01,24,25,268.51
17976.0,1,106.0,344.04,56,372,344.04
13491.0,10,873.0,1169.54,73,51,116.95
17838.0,5,1477.0,2387.49,96,26,477.5
16150.0,5,1047.0,2021.32,91,42,404.26
17884.0,4,650.0,659.92,107,3,164.98
17198.0,3,339.0,618.37,89,23,206.12
12793.0,2,282.0,462.53,21,334,231.27
13269.0,15,3171.0,4923.53,177,1,328.24
13506.0,2,294.0,442.33,26,316,221.17
15426.0,5,674.0,1381.89,217,19,276.38
15867.0,15,1925.0,3566.41,302,5,237.76
12720.0,25,4174.0,5146.61,211,2,205.86
14081.0,2,587.0,878.89,126,302,439.44
13579.0,2,155.0,441.74,19,14,220.87
17677.0,30,4647.0,7713.24,178,1,257.11
13094.0,12,630.0,758.52,4,21,63.21
15860.0,8,422.0,900.31,105,40,112.54
15301.0,12,2505.0,4337.17,167,50,361.43
17682.0,6,1346.0,2430.5,48,10,405.08
13089.0,97,25498.0,48507.96,636,2,500.08
15194.0,15,4493.0,6435.81,209,3,429.05
17218.0,10,943.0,1888.98,146,4,188.9
17320.0,3,580.0,1144.77,57,100,381.59
12913.0,5,908.0,1780.88,37,4,356.18
15649.0,2,54.0,229.5,1,336,114.75
15018.0,3,189.0,395.36,30,38,131.79
15353.0,2,343.0,697.67,59,254,348.84
18119.0,1,104.0,166.85,29,367,166.85
15858.0,5,1155.0,1378.87,145,15,275.77
16293.0,10,982.0,2125.24,102,21,212.52
17591.0,7,1000.0,2107.97,81,73,301.14
16125.0,1,124.0,288.45,13,367,288.45
14796.0,17,5932.0,7767.92,403,1,456.94
15973.0,1,61.0,198.02,4,366,198.02
15529.0,11,3364.0,3906.5,415,22,355.14
16385.0,3,261.0,546.54,52,60,182.18
17262.0,5,179.0,727.09,9,52,145.42
17894.0,8,405.0,1063.26,127,71,132.91
13984.0,5,247.0,428.9,14,26,85.78
14030.0,8,1470.0,1806.28,210,18,225.79
17655.0,7,937.0,2272.17,66,10,324.6
14243.0,10,1149.0,2486.98,99,8,248.7
15079.0,4,379.0,770.76,46,212,192.69
13319.0,26,4524.0,10315.01,209,5,396.73
18071.0,2,251.0,433.15,23,257,216.58
14987.0,2,108.0,275.4,2,15,137.7
17671.0,4,618.0,1286.57,40,15,321.64
17646.0,3,323.0,975.79,46,219,325.26
17097.0,8,459.0,897.22,153,2,112.15
17456.0,1,204.0,242.3,17,365,242.3
15596.0,5,561.0,1341.64,51,100,268.33
17576.0,19,1948.0,3412.01,245,8,179.58
14702.0,17,1438.0,3031.82,196,1,178.34
13230.0,14,1562.0,2581.35,393,4,184.38
16062.0,4,774.0,919.22,50,9,229.8
13148.0,12,1892.0,3421.18,231,29,285.1
12989.0,15,970.0,3620.32,41,3,241.35
17372.0,8,740.0,1318.06,215,40,164.76
14684.0,5,853.0,1221.73,231,25,244.35
14413.0,1,68.0,120.25,22,362,120.25
15361.0,1,162.0,225.12,7,361,225.12
17611.0,15,2434.0,3873.63,440,7,258.24
13324.0,10,1770.0,3689.79,25,36,368.98
15392.0,4,1172.0,1476.31,74,4,369.08
16954.0,9,919.0,1717.34,40,0,190.82
17230.0,8,1095.0,2718.86,51,264,339.86
14913.0,4,1437.0,1112.93,76,35,278.23
15641.0,4,1421.0,1846.85,102,105,461.71
12877.0,12,1148.0,1511.47,100,3,125.96
17288.0,7,1002.0,1212.25,118,9,173.18
15620.0,3,914.0,1476.12,92,56,492.04
17580.0,3,88.0,212.57,43,252,70.86
18223.0,14,2772.0,6125.39,116,4,437.53
16945.0,19,2590.0,4292.57,137,21,225.92
14643.0,2,627.0,579.55,30,170,289.78
13854.0,25,1822.0,6400.41,39,8,256.02
12782.0,5,1042.0,2003.26,81,4,400.65
17007.0,6,542.0,824.8,50,50,137.47
12691.0,6,316.0,842.3,21,28,140.38
13869.0,4,1712.0,3001.2,234,123,750.3
14099.0,11,1963.0,2919.59,167,16,265.42
12515.0,1,131.0,273.3,16,353,273.3
13953.0,7,313.0,501.93,8,7,71.7
13313.0,5,837.0,1537.22,47,22,307.44
13368.0,2,306.0,550.51,29,256,275.26
12413.0,3,286.0,680.2,29,66,226.73
13280.0,3,513.0,798.02,67,122,266.01
12501.0,1,1720.0,2040.63,149,336,2040.63
17284.0,6,1341.0,1640.74,229,60,273.46
17128.0,1,76.0,154.09,14,334,154.09
16748.0,5,880.0,1515.9,42,17,303.18
16850.0,1,240.0,328.63,19,333,328.63
16112.0,4,298.0,128.24,15,143,32.06
13473.0,2,245.0,392.63,21,60,196.32
12393.0,4,780.0,1495.9,47,72,373.98
15189.0,41,3537.0,10893.53,80,1,265.7
14669.0,3,754.0,1215.85,158,241,405.28
14209.0,6,629.0,1872.97,55,10,312.16
13862.0,8,1667.0,2191.81,97,18,273.98
16235.0,5,330.0,798.21,42,40,159.64
14978.0,5,525.0,1846.37,136,72,369.27
12474.0,18,4658.0,6810.67,253,17,378.37
13634.0,5,704.0,1502.21,156,33,300.44
12779.0,8,1791.0,3616.64,88,37,452.08
12626.0,9,3358.0,5920.1,232,23,657.79
14976.0,7,234.0,737.56,47,57,105.37
13859.0,1,129.0,195.26,27,326,195.26
12665.0,1,37.0,52.5,3,324,52.5
14572.0,7,1265.0,2638.57,190,3,376.94
16912.0,11,999.0,2409.88,88,28,219.08
16618.0,5,1222.0,2244.03,79,31,448.81
13819.0,3,649.0,876.81,26,301,292.27
15218.0,11,1971.0,4322.36,77,10,392.94
15110.0,4,246.0,785.4,17,23,196.35
18008.0,9,316.0,419.95,24,70,46.66
15339.0,2,379.0,563.84,77,66,281.92
12854.0,3,574.0,1207.03,95,78,402.34
14341.0,8,1319.0,2093.61,109,45,261.7
15227.0,5,627.0,1065.39,43,36,213.08
16949.0,6,725.0,768.08,57,3,128.01
14701.0,9,932.0,2123.37,268,10,235.93
16098.0,7,560.0,1628.94,34,87,232.71
15732.0,2,194.0,288.03,13,212,144.02
15081.0,5,190.0,468.7,26,22,93.74
16596.0,2,97.0,238.85,12,15,119.43
13611.0,3,706.0,1113.24,67,89,371.08
15224.0,2,152.0,311.63,13,358,155.81
16271.0,5,990.0,1399.03,89,2,279.81
